"bank Name","Email","Account Charges","Discount Percentage","ERROR"
"Voolith","mhallaways2b@guardian.co.uk","53","9","phone no contain 10 digit"
"Ozu","gseacroft2c@scribd.com","96","24","phone no contain 10 digit"
"Twitterbeat","lpolino2d@nature.com","41","22","phone no contain 10 digit"
"Chatterpoint","doneal2e@theglobeandmail.com","25","8","phone no contain 10 digit"
"Wordpedia","vscotland2f@upenn.edu","44","26","phone no contain 10 digit"
"Skinix","avaudrey2g@indiegogo.com","80","6","phone no contain 10 digit"
"Devbug","cmacalaster2h@zdnet.com","62","29","phone no contain 10 digit"
"Twitterlist","mwebburn2i@nhs.uk","98","24","phone no contain 10 digit"
"Mycat","rhuson2j@opera.com","23","5","phone no contain 10 digit"
"Meembee","wpapaminas2k@xinhuanet.com","16","15","phone no contain 10 digit"
"Feedspan","cmesser2l@altervista.org","33","15","phone no contain 10 digit"
"Myworks","ncastleton2m@elpais.com","3","18","phone no contain 10 digit"
"Quinu","emazella2n@wix.com","93","14","phone no contain 10 digit"
"Agimba","jjirousek2o@over-blog.com","99","15","phone no contain 10 digit"
"Yakidoo","mkohtler2p@nasa.gov","79","44","phone no contain 10 digit"
"Linklinks","crahl2q@typepad.com","14","26","phone no contain 10 digit"
"Brightbean","binker2r@java.com","70","4","phone no contain 10 digit"
"Jayo","bfillgate2s@deliciousdays.com","24","19","phone no contain 10 digit"
"Twitternation","ashynn2t@arizona.edu","11","32","phone no contain 10 digit"
"Realblab","mlusty2u@devhub.com","76","14","phone no contain 10 digit"
"Rhyloo","mcluckie2v@plala.or.jp","21","39","phone no contain 10 digit"
"Dynabox","bviall2w@google.com.br","85","34","phone no contain 10 digit"
"Vinte","gmenelaws2x@msu.edu","60","20","phone no contain 10 digit"
"Voonder","savarne2y@furl.net","98","43","phone no contain 10 digit"
"Quatz","tmussard2z@prweb.com","2","21","phone no contain 10 digit"
"Meezzy","bsegot30@psu.edu","24","13","phone no contain 10 digit"
"Trilia","kbucham31@bing.com","21","50","phone no contain 10 digit"
"Lazz","tbasire32@nymag.com","77","15","phone no contain 10 digit"
"Voolia","atayspell33@rambler.ru","60","1","phone no contain 10 digit"
"Meembee","eoroan34@cnn.com","51","50","phone no contain 10 digit"
"Wordpedia","sbourley35@exblog.jp","49","11","phone no contain 10 digit"
"Youspan","bgumary36@tmall.com","100","35","phone no contain 10 digit"
"Browsedrive","escalera37@chron.com","91","10","phone no contain 10 digit"
"Gigaclub","lrannald38@networkadvertising.org","72","21","phone no contain 10 digit"
"Kayveo","ehallum39@purevolume.com","15","12","phone no contain 10 digit"
"Buzzshare","ttogher3a@simplemachines.org","14","32","phone no contain 10 digit"
"Blogspan","hginn3b@lulu.com","77","18","phone no contain 10 digit"
"BlogXS","agudgin3c@dmoz.org","58","10","phone no contain 10 digit"
"Blogtag","abamber3d@vimeo.com","78","41","phone no contain 10 digit"
"Gigashots","vdennes3e@ucsd.edu","10","22","phone no contain 10 digit"
"Tagcat","spusey3f@newsvine.com","63","7","phone no contain 10 digit"
"Blognation","lmatskiv3g@seattletimes.com","45","11","phone no contain 10 digit"
"Gigaclub","wklemt3h@time.com","51","28","phone no contain 10 digit"
"Tazz","jchellingworth3i@myspace.com","79","23","phone no contain 10 digit"
"Shufflester","pschruyer3j@ow.ly","7","2","phone no contain 10 digit"
"Jayo","ajobern3k@twitpic.com","27","26","phone no contain 10 digit"
"Pixoboo","cdannett3l@narod.ru","94","16","phone no contain 10 digit"
"Meejo","lferminger3m@multiply.com","38","13","phone no contain 10 digit"
"Zoozzy","averrillo3n@flickr.com","98","1","phone no contain 10 digit"
"Rhybox","apigny3o@cargocollective.com","12","43","phone no contain 10 digit"
"Dynabox","cbolte3p@xing.com","46","39","phone no contain 10 digit"
"Skalith","rtreswell3q@ox.ac.uk","97","46","phone no contain 10 digit"
"Yakitri","kjowers3r@biglobe.ne.jp","14","20","phone no contain 10 digit"
"Innojam","jsilcox3s@miitbeian.gov.cn","92","6","phone no contain 10 digit"
"Topicware","cpassion3t@europa.eu","10","3","phone no contain 10 digit"
"Devify","vbabon3u@msn.com","87","19","phone no contain 10 digit"
"Centidel","nvuitte3v@zdnet.com","8","18","phone no contain 10 digit"
"Chatterbridge","tnovotne3w@google.de","32","11","phone no contain 10 digit"
"Wikizz","ncalcott3x@t-online.de","78","30","phone no contain 10 digit"
"Photospace","caitkin3y@latimes.com","11","48","phone no contain 10 digit"
"Tavu","dbayns3z@cyberchimps.com","16","43","phone no contain 10 digit"
"Oloo","cpeyzer40@zdnet.com","4","11","phone no contain 10 digit"
"Blogtags","gmournian41@gravatar.com","22","45","phone no contain 10 digit"
"Trunyx","cskepper42@tuttocitta.it","50","24","phone no contain 10 digit"
"Innojam","mtreagust43@nyu.edu","39","30","phone no contain 10 digit"
"Flipopia","bpulham44@sitemeter.com","71","35","phone no contain 10 digit"
"Twinte","dyegorkov45@berkeley.edu","73","40","phone no contain 10 digit"
"Jabberbean","rlambourne46@virginia.edu","26","3","phone no contain 10 digit"
"Meembee","wportigall47@blinklist.com","70","29","phone no contain 10 digit"
"Yabox","sgildea48@pbs.org","28","5","phone no contain 10 digit"
"Realblab","tklagges49@wunderground.com","31","17","phone no contain 10 digit"
"Wordware","dbut4a@ft.com","77","8","phone no contain 10 digit"
"Geba","vscare4b@livejournal.com","97","20","phone no contain 10 digit"
"Innojam","eaps4c@merriam-webster.com","88","5","phone no contain 10 digit"
"Photolist","lsaywell4d@psu.edu","67","32","phone no contain 10 digit"
"Meezzy","rmcquaid4e@dropbox.com","12","39","phone no contain 10 digit"
"Wordpedia","ibennoe4f@a8.net","84","39","phone no contain 10 digit"
"Divavu","gtansly4g@who.int","37","19","phone no contain 10 digit"
"Gabtune","crispine4h@example.com","70","24","phone no contain 10 digit"
"Bubblemix","fsidey4i@chron.com","84","30","phone no contain 10 digit"
"Oyonder","wsellors4j@dmoz.org","54","48","phone no contain 10 digit"
"Flipstorm","clitzmann4k@last.fm","95","13","phone no contain 10 digit"
"Eayo","lamner4l@ameblo.jp","86","28","phone no contain 10 digit"
"Dabtype","rakker4m@delicious.com","44","24","phone no contain 10 digit"
"Aimbu","maspey4n@trellian.com","97","6","phone no contain 10 digit"
"Mycat","cscrowson4o@hao123.com","61","27","phone no contain 10 digit"
"Leenti","aadriani4p@gravatar.com","22","35","phone no contain 10 digit"
"Roombo","cgreensmith4q@de.vu","59","35","phone no contain 10 digit"
"Divanoodle","ccockland4r@opensource.org","61","18","phone no contain 10 digit"
"Rhybox","jdambrosi4s@unicef.org","96","23","phone no contain 10 digit"
"Skibox","mgoldsbury4t@statcounter.com","98","25","phone no contain 10 digit"
"Quatz","xtejada4u@nsw.gov.au","60","40","phone no contain 10 digit"
"Brainsphere","knaseby4v@patch.com","86","30","phone no contain 10 digit"
"Devpulse","cbrewers4w@ox.ac.uk","65","28","phone no contain 10 digit"
"Yakijo","rkeymer4x@ning.com","29","2","phone no contain 10 digit"
"Mymm","obather4y@scribd.com","43","37","phone no contain 10 digit"
"Browsecat","ahimpson4z@berkeley.edu","64","50","phone no contain 10 digit"
"Oyoloo","hharsnipe50@jiathis.com","41","22","phone no contain 10 digit"
"Ainyx","emccrum51@vistaprint.com","99","36","phone no contain 10 digit"
"Rhynyx","lseagar52@wikispaces.com","19","49","phone no contain 10 digit"
"Browsedrive","cspours53@cloudflare.com","69","19","phone no contain 10 digit"
"Topicstorm","jjeffcoat54@jugem.jp","70","21","phone no contain 10 digit"
"Brainverse","bemerine55@jiathis.com","79","10","phone no contain 10 digit"
"Zoombeat","tarnowitz56@seattletimes.com","93","23","phone no contain 10 digit"
"Avamba","cschafer57@hubpages.com","91","24","phone no contain 10 digit"
"Realmix","gdorosario58@squarespace.com","23","30","phone no contain 10 digit"
"Devify","rfleeming59@columbia.edu","4","34","phone no contain 10 digit"
"Realbridge","mlightfoot5a@cbsnews.com","59","14","phone no contain 10 digit"
"Cogilith","gsuddick5b@usnews.com","18","25","phone no contain 10 digit"
"Wordpedia","aroels5c@woothemes.com","67","34","phone no contain 10 digit"
"Realbridge","aodempsey5d@ebay.com","4","49","phone no contain 10 digit"
"Zoomlounge","mberkelay5e@diigo.com","56","38","phone no contain 10 digit"
"Eimbee","dfinney5f@deviantart.com","42","34","phone no contain 10 digit"
"Brightdog","egostridge5g@1und1.de","18","27","phone no contain 10 digit"
"Jaxspan","mgillicuddy5h@jiathis.com","48","36","phone no contain 10 digit"
"Minyx","cswindells5i@smugmug.com","55","32","phone no contain 10 digit"
"Blogtags","tspringle5j@google.com","85","3","phone no contain 10 digit"
